source,target,relation
chunk_ch1074,figure_fig_0123,CAPTIONS
chunk_ch1077,figure_fig_0124,CAPTIONS
chunk_ch1088,figure_fig_0125,CAPTIONS
chunk_ch1089,figure_fig_0126,CAPTIONS
chunk_ch1091,figure_fig_0127,CAPTIONS
chunk_ch1095,figure_fig_0128,CAPTIONS
chunk_ch1097,figure_fig_0129,CAPTIONS
chunk_ch1107,figure_fig_0130,CAPTIONS
chunk_ch1120,figure_fig_0131,CAPTIONS
chunk_ch1126,figure_fig_0132,CAPTIONS
chunk_ch1134,figure_fig_0133,CAPTIONS
chunk_ch1151,figure_fig_0134,CAPTIONS
chunk_ch1220,figure_fig_0135,CAPTIONS
chunk_ch1243,figure_fig_0136,CAPTIONS
chunk_ch1245,figure_fig_0137,CAPTIONS
chunk_ch1256,figure_fig_0138,CAPTIONS
chunk_ch1273,figure_fig_0139,CAPTIONS
chunk_ch1277,figure_fig_0140,CAPTIONS
chunk_ch1279,figure_fig_0141,CAPTIONS
chunk_ch1281,figure_fig_0142,CAPTIONS
chunk_ch1326,figure_fig_0143,CAPTIONS
chunk_ch1335,figure_fig_0144,CAPTIONS
chunk_ch1342,figure_fig_0145,CAPTIONS
chunk_ch1349,figure_fig_0146,CAPTIONS
chunk_ch1354,figure_fig_0147,CAPTIONS
chunk_ch1358,figure_fig_0148,CAPTIONS
chunk_ch1365,figure_fig_0149,CAPTIONS
chunk_ch1370,figure_fig_0150,CAPTIONS
chunk_ch1378,figure_fig_0151,CAPTIONS
chunk_ch1383,figure_fig_0152,CAPTIONS
chunk_ch1386,figure_fig_0153,CAPTIONS
chunk_ch1399,figure_fig_0154,CAPTIONS
chunk_ch1408,figure_fig_0155,CAPTIONS
chunk_ch1421,figure_fig_0156,CAPTIONS
chunk_ch1429,figure_fig_0157,CAPTIONS
chunk_ch1434,figure_fig_0158,CAPTIONS
chunk_ch1441,figure_fig_0159,CAPTIONS
chunk_ch1469,figure_fig_0160,CAPTIONS
chunk_ch1474,figure_fig_0161,CAPTIONS
chunk_ch1476,figure_fig_0162,CAPTIONS
chunk_ch1480,figure_fig_0163,CAPTIONS
chunk_ch1489,figure_fig_0164,CAPTIONS
chunk_ch1493,figure_fig_0166,CAPTIONS
chunk_ch1498,figure_fig_0167,CAPTIONS
chunk_ch1508,figure_fig_0168,CAPTIONS
chunk_ch1510,figure_fig_0169,CAPTIONS
chunk_ch1516,figure_fig_0170,CAPTIONS
chunk_ch1522,figure_fig_0171,CAPTIONS
chunk_ch1527,figure_fig_0172,CAPTIONS
chunk_ch1530,figure_fig_0173,CAPTIONS
chunk_ch1535,figure_fig_0174,CAPTIONS
chunk_ch1539,figure_fig_0175,CAPTIONS
chunk_ch1567,figure_fig_0176,CAPTIONS
chunk_ch1589,figure_fig_0177,CAPTIONS
chunk_ch1596,figure_fig_0178,CAPTIONS
chunk_ch1623,figure_fig_0179,CAPTIONS
chunk_ch1626,figure_fig_0180,CAPTIONS
chunk_ch1674,figure_fig_0181,CAPTIONS
chunk_ch1676,figure_fig_0182,CAPTIONS
chunk_ch1696,figure_fig_0183,CAPTIONS
chunk_ch1715,figure_fig_0184,CAPTIONS
chunk_ch1722,figure_fig_0185,CAPTIONS
chunk_ch1724,figure_fig_0186,CAPTIONS
chunk_ch1730,figure_fig_0187,CAPTIONS
chunk_ch1735,figure_fig_0188,CAPTIONS
chunk_ch1739,figure_fig_0189,CAPTIONS
chunk_ch1753,figure_fig_0190,CAPTIONS
chunk_ch1754,figure_fig_0191,CAPTIONS
chunk_ch1772,figure_fig_0192,CAPTIONS
chunk_ch1775,figure_fig_0193,CAPTIONS
chunk_ch1779,figure_fig_0194,CAPTIONS
chunk_ch1783,figure_fig_0195,CAPTIONS
chunk_ch1794,figure_fig_0196,CAPTIONS
chunk_ch1799,figure_fig_0197,CAPTIONS
chunk_ch1806,figure_fig_0198,CAPTIONS
chunk_ch1810,figure_fig_0199,CAPTIONS
chunk_ch1814,figure_fig_0200,CAPTIONS
chunk_ch1817,figure_fig_0201,CAPTIONS
chunk_ch1821,figure_fig_0202,CAPTIONS
chunk_ch1824,figure_fig_0203,CAPTIONS
chunk_ch1828,figure_fig_0204,CAPTIONS
